D,H,Beta,J,CT,CP,CQ,RPS
12,5.5,0.458333333,0.045828528,0.10273213,0.046562106,0.007414291,116.6852051
12,5.5,0.458333333,0.046091464,0.102860532,0.047187234,0.007513813,116.0195557
12,5.5,0.458333333,0.045996809,0.102678961,0.04691205,0.007470057,116.2583089
12,5.5,0.458333333,0.045851684,0.10294259,0.046128979,0.007345473,116.6262777
12,5.5,0.458333333,0.046125213,0.103789615,0.047099085,0.007499702,115.934668
12,5.5,0.458333333,0.046089654,0.103262418,0.046811879,0.00745405,116.024113
12,5.5,0.458333333,0.045933046,0.10236313,0.046218214,0.007359431,116.419694
12,5.5,0.458333333,0.046098041,0.102082346,0.046506302,0.007405364,116.0030029
12,5.5,0.458333333,0.045959326,0.103206909,0.046150939,0.00734883,116.353125
12,5.5,0.458333333,0.045950906,0.102704181,0.04613589,0.007346481,116.3744466
12,5.5,0.458333333,0.045995782,0.103753741,0.046403578,0.007389167,116.260905
12,5.5,0.458333333,0.046088564,0.10232792,0.046525912,0.007408543,116.0268555
12,5.5,0.458333333,0.046149512,0.102195374,0.046322274,0.007376196,115.8736247
12,5.5,0.458333333,0.046224725,0.103052821,0.046564191,0.007414658,115.685083
12,5.5,0.458333333,0.046343664,0.103356992,0.046756698,0.007445429,115.3881836
12,5.5,0.458333333,0.046314893,0.102989762,0.046798895,0.007452155,115.4598633
12,5.5,0.458333333,0.046171906,0.103093992,0.0463245,0.007376278,115.8174235
12,5.5,0.458333333,0.046183709,0.102835968,0.046380992,0.007385743,115.7878255
12,5.5,0.458333333,0.046385918,0.103587999,0.046870288,0.007463308,115.2830729
12,5.5,0.458333333,0.046326217,0.10257539,0.046529444,0.00740906,115.4316406
12,5.5,0.458333333,0.046251949,0.102191723,0.046228216,0.007361111,115.6169922
12,5.5,0.458333333,0.046394397,0.103587601,0.046672855,0.007432029,115.2620036
12,5.5,0.458333333,0.046348015,0.102763598,0.046625391,0.007424146,115.3773519
12,5.5,0.458333333,0.04622284,0.102295922,0.045814146,0.007295417,115.6898031
12,5.5,0.458333333,0.046332691,0.102598281,0.046334061,0.007378122,115.4155111
12,5.5,0.458333333,0.046366722,0.101445657,0.046396846,0.007388008,115.3308024
12,5.5,0.458333333,0.046376693,0.101780441,0.046352509,0.007380753,115.3060059
12,5.5,0.458333333,0.046484804,0.10320295,0.04660479,0.007421043,115.0378337
12,5.5,0.458333333,0.046498975,0.102695946,0.046477497,0.007400769,115.0027751
12,5.5,0.458333333,0.024762249,0.111383199,0.048670433,0.007749975,101.2952393
12,5.5,0.458333333,0.02467795,0.10881785,0.048107487,0.007660504,101.6412598
12,5.5,0.458333333,0.024790233,0.108689593,0.04796268,0.00763738,101.1808919
12,5.5,0.458333333,0.024540037,0.106564837,0.047001903,0.007484264,102.2124756
12,5.5,0.458333333,0.024602519,0.1100554,0.047462801,0.007557979,101.952889
12,5.5,0.458333333,0.024628067,0.107773525,0.04746285,0.007557829,101.8471273
12,5.5,0.458333333,0.024511292,0.104885556,0.046125494,0.007344479,102.3323405
12,5.5,0.458333333,0.024500975,0.105454601,0.046365254,0.007383122,102.3754313
12,5.5,0.458333333,0.024387466,0.103494686,0.045033465,0.00717099,102.8519287
12,5.5,0.458333333,0.024711274,0.107615864,0.0470035,0.00748499,101.5041911
12,5.5,0.458333333,0.024665956,0.109467224,0.047600256,0.007579872,101.690682
12,5.5,0.458333333,0.024627422,0.107452853,0.046867813,0.007462906,101.8497966
12,5.5,0.458333333,0.024659085,0.107856309,0.046949558,0.00747602,101.7190186
12,5.5,0.458333333,0.02477125,0.109248582,0.047825761,0.007615761,101.258431
12,5.5,0.458333333,0.024773617,0.110470524,0.048036468,0.007649484,101.2487549
12,5.5,0.458333333,0.024588455,0.105759522,0.046716009,0.007438921,102.0112061
12,5.5,0.458333333,0.024691352,0.108294389,0.047158938,0.0075097,101.5860921
12,5.5,0.458333333,0.024498237,0.105137982,0.045869791,0.007304126,102.3868734
12,5.5,0.458333333,0.024770603,0.109905786,0.047577743,0.007575991,101.2610759
12,5.5,0.458333333,0.024741294,0.109806093,0.047415944,0.007550496,101.3810303
12,5.5,0.458333333,0.024712691,0.108963953,0.04731342,0.007533861,101.4983724
12,5.5,0.458333333,0.024704435,0.107199885,0.046948642,0.007476182,101.5322917
12,5.5,0.458333333,0.024663205,0.105267064,0.046270484,0.007368506,101.7020264
12,5.5,0.458333333,0.024695288,0.106429076,0.046591568,0.007418942,101.5698975
12,5.5,0.458333333,0.024614801,0.105396916,0.046159645,0.007350221,101.9020182
12,5.5,0.458333333,0.024720598,0.106741784,0.047198709,0.007515625,101.4659098
12,5.5,0.458333333,0.024586682,0.104003019,0.045701626,0.007277355,102.0185628
12,5.5,0.458333333,0.024629919,0.106401992,0.046570143,0.007415352,101.8394694
12,5.5,0.458333333,0.024644737,0.10540586,0.046842022,0.007459115,101.7782389
12,5.5,0.458333333,0.02245483,0.105336644,0.05214594,0.008305025,111.7041585
12,5.5,0.458333333,0.021915261,0.107506421,0.048262355,0.007684999,114.4543945
12,5.5,0.458333333,0.021830762,0.104918537,0.047505319,0.007564502,114.897404
12,5.5,0.458333333,0.021822164,0.105759264,0.047355334,0.0075406,114.9426758
12,5.5,0.458333333,0.021944407,0.107050372,0.048125607,0.007663012,114.3023763
12,5.5,0.458333333,0.021961692,0.107102206,0.048261097,0.007684865,114.2124186
12,5.5,0.458333333,0.021925341,0.106008461,0.04796066,0.007636969,114.4017741
12,5.5,0.458333333,0.021938736,0.105838988,0.047910021,0.007628666,114.3319255
12,5.5,0.458333333,0.021988734,0.106811881,0.048121655,0.007662642,114.0719564
12,5.5,0.458333333,0.022011876,0.107049406,0.048424714,0.007710969,113.9520264
12,5.5,0.458333333,0.021924062,0.105547319,0.047476739,0.007559956,114.4084473
12,5.5,0.458333333,0.021975095,0.106153771,0.047640883,0.007586022,114.1427572
12,5.5,0.458333333,0.021983392,0.106084499,0.047754773,0.007604098,114.0996745
12,5.5,0.458333333,0.021916667,0.105327859,0.047075425,0.007496056,114.447054
12,5.5,0.458333333,0.022106073,0.108631455,0.048530193,0.007727818,113.4664632
12,5.5,0.458333333,0.022120048,0.10676162,0.048392136,0.007705833,113.3947754
12,5.5,0.458333333,0.022097784,0.10699279,0.048090171,0.007657671,113.5090251
12,5.5,0.458333333,0.022055884,0.105487083,0.0477558,0.007604498,113.7246582
12,5.5,0.458333333,0.02188559,0.104756789,0.046351365,0.007380862,114.6095622
12,5.5,0.458333333,0.021888804,0.104322422,0.046389769,0.007386929,114.5927328
12,5.5,0.458333333,0.021987735,0.107350596,0.047184687,0.007513655,114.0771403
12,5.5,0.458333333,0.021960992,0.104760014,0.046756936,0.007445223,114.2160563
